MRN
HAR
PROC_ID
PROC_CODE
PROC_NAME
ORD_PROC_ID
ORDER_ID
PAT_AGE_AT_EXAM
ACCESSION_NUM
ORDERING_LOGIN_DEP_ID
ORDERING_CONTACT_DEP_ID
ORDERING_CSN_ID
PERFORMING_CSN_ID
PERFORMING_DEP_ID
PERFORMING_PROV_ID
STUDY_STATUS_C
ORDERING_PROV_ID
AUTHORIZING_PROV_ID
ORDERING_DTTM
BEGIN_EXAM_DTTM
END_EXAM_DTTM
FINALIZING_DTTM
FINALIZING_PROV_ID
TECH_USER_ID
IS_CANCELED_YN
SCHED_EXAM_DTTM
SCHED_ON_DTTM
CHECKIN_DTTM
RESULT_NOTE_CSN
NOTE_CSN_ID
NOTE_ID
ORDER_PRIORITY_C
NOTE_TEXT
